Te libras de ir a buscar a los niños al cole 1 mes
Te libras de llevar a los niños al cole 1 mes
Te libras de hacer la comida durante 1 mes
Te libras de limpiar la casa durante 1 mes
Te libras de sacar la basura durante 1 mes
Te libras de hacer la compra durante 1 mes
Te libras de darle de comer a la mascota durante 1 mes
Te libras de poner lavadoras durante 1 mes
Te libras de tender la ropa durante 1 mes
Te libras de regar el jardín durante 1 mes
El resto de jugadores deben apañarse para hacer la comida que tú quieras durante 1 semana
El resto de jugadores deben ayudarte en 1 tarea por semana durante 1 mes
Te libras de recoger la mesa durante 1 mes
Te libras de poner la mesa durante 1 mes
Te libras de recoger la ropa tendida durante 1 mes
Te libras de tender la ropa durante 1 mes
Te libras de hacer la cena durante 1 mes
Te libras de ayudar a los demás con los deberes durante 1 mes
Te libras de hacer la tarea que menos te guste de la casa durante 2 semanas
Te libras de limpiar los baños durante 1 mes
Te libras de fregar los platos durante 1 mes
